Location,ID,Server,Check #,Table,Check Opened,Station,Expediter Level,Fired Date,Fulfilled Date,Fulfillment Time,Fulfilled By
1234 Elmwood Avenue,900000004019823104,Bartender A,1,,4/10/24 4:26 PM,,1,4/10/24 4:27 PM,4/10/24 4:52 PM,25 minutes and 39 seconds,Manager 1
1234 Elmwood Avenue,900000004021911234,Bartender A,7,,4/10/24 5:50 PM,,1,4/10/24 5:55 PM,4/10/24 5:59 PM,3 minutes and 42 seconds,Manager 1
1234 Elmwood Avenue,900000004022473925,Bartender A,7,,4/10/24 5:50 PM,,1,4/10/24 5:55 PM,4/10/24 6:15 PM,20 minutes and 4 seconds,Manager 1
1234 Elmwood Avenue,900000004022822715,Bartender A,8,,4/10/24 6:00 PM,,1,4/10/24 6:04 PM,4/10/24 6:25 PM,20 minutes and 49 seconds,Manager 1
1234 Elmwood Avenue,900000004022885129,Bartender A,11,,4/10/24 6:14 PM,,1,4/10/24 6:16 PM,4/10/24 6:27 PM,10 minutes and 45 seconds,Manager 1
1234 Elmwood Avenue,900000004023892630,Bartender A,12,,4/10/24 6:16 PM,,1,4/10/24 6:47 PM,4/10/24 6:58 PM,10 minutes and 40 seconds,Manager 1
1234 Elmwood Avenue,900000004023893261,Bartender A,8,,4/10/24 6:00 PM,,1,4/10/24 6:42 PM,4/10/24 6:58 PM,15 minutes and 25 seconds,Manager 1
1234 Elmwood Avenue,900000004024143555,Bartender A,13,,4/10/24 6:48 PM,,1,4/10/24 6:53 PM,4/10/24 7:05 PM,12 minutes and 27 seconds,Manager 1
1234 Elmwood Avenue,900000004024499713,Bartender A,15,,4/10/24 7:07 PM,,1,4/10/24 7:08 PM,4/10/24 7:17 PM,8 minutes and 45 seconds,Manager 1
1234 Elmwood Avenue,900000004024754734,Bartender A,17,,4/10/24 7:22 PM,,1,4/10/24 7:23 PM,4/10/24 7:25 PM,1 minute and 49 seconds,Manager 1
1234 Elmwood Avenue,900000004024930046,Bartender A,17,,4/10/24 7:22 PM,,1,4/10/24 7:23 PM,4/10/24 7:31 PM,7 minutes and 44 seconds,Manager 1
1234 Elmwood Avenue,900000004025152212,Bartender A,18,,4/10/24 7:26 PM,,1,4/10/24 7:27 PM,4/10/24 7:38 PM,11 minutes and 11 seconds,Manager 1
1234 Elmwood Avenue,900000004025855115,Bartender A,25,,4/10/24 7:58 PM,,1,4/10/24 7:59 PM,4/10/24 8:05 PM,5 minutes and 50 seconds,Manager 1
1234 Elmwood Avenue,900000004025901237,Bartender A,28,,4/10/24 8:02 PM,,1,4/10/24 8:02 PM,4/10/24 8:06 PM,4 minutes and 12 seconds,Manager 1
1234 Elmwood Avenue,900000004026211359,Bartender A,31,,4/10/24 8:16 PM,,1,4/10/24 8:16 PM,4/10/24 8:19 PM,3 minutes and 13 seconds,Manager 1
1234 Elmwood Avenue,900000004026447565,Bartender A,33,,4/10/24 8:29 PM,,1,4/10/24 8:29 PM,4/10/24 8:30 PM,12 seconds,Manager 1
